795120029447800101                                              142345    65354Alachua County (Central)--Gainesville City (Central) PUMA
79612002944780010100100308548                                   142345    65354Alachua County (part)
79812002944780010100100308548             0037502403070              0        0Alachua city (part)
79912002944780010100100308548             0037502403070001803        0        0Census Tract 18.03 (part)
79812002944780010100100308548             2517502403676         122492    56575Gainesville city (part)
79912002944780010100100308548             2517502403676000200     7431     3123Census Tract 2
79912002944780010100100308548             2517502403676000301     3308     1933Census Tract 3.01
79912002944780010100100308548             2517502403676000302     2770     1592Census Tract 3.02
79912002944780010100100308548             2517502403676000400     5665     2327Census Tract 4
79912002944780010100100308548             2517502403676000500     4976     2694Census Tract 5
79912002944780010100100308548             2517502403676000600     4010     1584Census Tract 6 (part)
79912002944780010100100308548             2517502403676000700     3418     1543Census Tract 7 (part)
79912002944780010100100308548             2517502403676000806     2180     1276Census Tract 8.06
79912002944780010100100308548             2517502403676000808     3604     1919Census Tract 8.08 (part)
79912002944780010100100308548             2517502403676000809     1364      886Census Tract 8.09 (part)
79912002944780010100100308548             2517502403676000901     2877      508Census Tract 9.01
79912002944780010100100308548             2517502403676000902     5926       40Census Tract 9.02
79912002944780010100100308548             2517502403676001000     6207     3001Census Tract 10
79912002944780010100100308548             2517502403676001100     6438     3163Census Tract 11
79912002944780010100100308548             2517502403676001201     2906     1283Census Tract 12.01
79912002944780010100100308548             2517502403676001202     6914     3187Census Tract 12.02
79912002944780010100100308548             2517502403676001203     3657     1850Census Tract 12.03
79912002944780010100100308548             2517502403676001400      974        0Census Tract 14 (part)
79912002944780010100100308548             2517502403676001514     1281      981Census Tract 15.14
79912002944780010100100308548             2517502403676001515     6343     3335Census Tract 15.15
79912002944780010100100308548             2517502403676001516     2149     1338Census Tract 15.16
79912002944780010100100308548             2517502403676001517     4734     2505Census Tract 15.17
79912002944780010100100308548             2517502403676001519     2559      992Census Tract 15.19
79912002944780010100100308548             2517502403676001520     2482     1245Census Tract 15.20
79912002944780010100100308548             2517502403676001521     4120     2563Census Tract 15.21
79912002944780010100100308548             2517502403676001603     1269      661Census Tract 16.03
79912002944780010100100308548             2517502403676001604     7644     3929Census Tract 16.04
79912002944780010100100308548             2517502403676001701       88       40Census Tract 17.01 (part)
79912002944780010100100308548             2517502403676001702     3564     1699Census Tract 17.02 (part)
79912002944780010100100308548             2517502403676001803     6358     2936Census Tract 18.03 (part)
79912002944780010100100308548             2517502403676001811     1690     1045Census Tract 18.11 (part)
79912002944780010100100308548             2517502403676001902     3021     1070Census Tract 19.02 (part)
79912002944780010100100308548             2517502403676110800      565      327Census Tract 1108 (part)
79812002944780010100100308548             9999999999999          19853     8779Remainder of Alachua County (part)
79912002944780010100100308548             9999999999999000600      340      173Census Tract 6 (part)
79912002944780010100100308548             9999999999999000700     2657     1080Census Tract 7 (part)
79912002944780010100100308548             9999999999999000808       26       15Census Tract 8.08 (part)
79912002944780010100100308548             9999999999999000809        0        0Census Tract 8.09 (part)
79912002944780010100100308548             9999999999999001400     3611     1033Census Tract 14 (part)
79912002944780010100100308548             9999999999999001701     5807     3002Census Tract 17.01 (part)
79912002944780010100100308548             9999999999999001702     1172      464Census Tract 17.02 (part)
79912002944780010100100308548             9999999999999001811     4480     2156Census Tract 18.11 (part)
79912002944780010100100308548             9999999999999001902      295      201Census Tract 19.02 (part)
79912002944780010100100308548             9999999999999110800     1465      655Census Tract 1108 (part)
795120029447800102                                              104991    47412Alachua County (Outer) PUMA
79612002944780010200100308548                                   104991    47412Alachua County (part)
79812002944780010200100308548             0037502403070           9059     4037Alachua city (part)
79912002944780010200100308548             0037502403070001801     1132      454Census Tract 18.01 (part)
79912002944780010200100308548             0037502403070001802     1649      680Census Tract 18.02 (part)
79912002944780010200100308548             0037502403070001805     1130      461Census Tract 18.05 (part)
79912002944780010200100308548             0037502403070001806     2580     1239Census Tract 18.06 (part)
79912002944780010200100308548             0037502403070001813        2        1Census Tract 18.13 (part)
79912002944780010200100308548             0037502403070001814     2566     1202Census Tract 18.14 (part)
79812002944780010200100308548             0177502403109           1118      517Archer city
79912002944780010200100308548             0177502403109002202       34       15Census Tract 22.02 (part)
79912002944780010200100308548             0177502403109002209      910      412Census Tract 22.09 (part)
79912002944780010200100308548             0177502403109002210      174       90Census Tract 22.10 (part)
79812002944780010200100308548             2517502403676           1862     1001Gainesville city (part)
79912002944780010200100308548             2517502403676001802      363      216Census Tract 18.02 (part)
79912002944780010200100308548             2517502403676001813     1188      563Census Tract 18.13 (part)
79912002944780010200100308548             2517502403676001814        7        1Census Tract 18.14 (part)
79912002944780010200100308548             2517502403676001907        0        0Census Tract 19.07 (part)
79912002944780010200100308548             2517502403676001908      145      126Census Tract 19.08 (part)
79912002944780010200100308548             2517502403676002000        4        2Census Tract 20 (part)
79912002944780010200100308548             2517502403676002217        0        0Census Tract 22.17 (part)
79912002944780010200100308548             2517502403676002219      155       93Census Tract 22.19 (part)
79912002944780010200100308548             2517502403676002220        0        0Census Tract 22.20 (part)
79812002944780010200100308548             2927502404666           1417      681Hawthorne city
79912002944780010200100308548             2927502404666002000     1417      681Census Tract 20 (part)
79812002944780010200100308548             3052502404697           5350     2361High Springs city
79912002944780010200100308548             3052502404697001801     2185     1002Census Tract 18.01 (part)
79912002944780010200100308548             3052502404697001806     3165     1359Census Tract 18.06 (part)
79812002944780010200100308548             3730002405962            360      143La Crosse town
79912002944780010200100308548             3730002405962001801      272      109Census Tract 18.01 (part)
79912002944780010200100308548             3730002405962001802        7        3Census Tract 18.02 (part)
79912002944780010200100308548             3730002405962001908       81       31Census Tract 19.08 (part)
79812002944780010200100308548             4522502406153            600      317Micanopy town
79912002944780010200100308548             4522502406153002101      153       86Census Tract 21.01 (part)
79912002944780010200100308548             4522502406153002102      447      231Census Tract 21.02 (part)
79812002944780010200100308548             4820002404370           4950     2068Newberry city
79912002944780010200100308548             4820002404370001806       15        4Census Tract 18.06 (part)
79912002944780010200100308548             4820002404370002201      982      411Census Tract 22.01 (part)
79912002944780010200100308548             4820002404370002202      686      286Census Tract 22.02 (part)
79912002944780010200100308548             4820002404370002210     3267     1367Census Tract 22.10 (part)
79812002944780010200100308548             7492502405660           1015      489Waldo city
79912002944780010200100308548             7492502405660001907      474      218Census Tract 19.07 (part)
79912002944780010200100308548             7492502405660001908      541      271Census Tract 19.08 (part)
79812002944780010200100308548             9999999999999          79260    35798Remainder of Alachua County (part)
79912002944780010200100308548             9999999999999001801     3900     1668Census Tract 18.01 (part)
79912002944780010200100308548             9999999999999001802      918      443Census Tract 18.02 (part)
79912002944780010200100308548             9999999999999001805      352      139Census Tract 18.05 (part)
79912002944780010200100308548             9999999999999001806     2915     1241Census Tract 18.06 (part)
79912002944780010200100308548             9999999999999001813     1472      612Census Tract 18.13 (part)
79912002944780010200100308548             9999999999999001814       52       27Census Tract 18.14 (part)
79912002944780010200100308548             9999999999999001907     2147     1148Census Tract 19.07 (part)
79912002944780010200100308548             9999999999999001908     3931     1830Census Tract 19.08 (part)
79912002944780010200100308548             9999999999999002000     4236     2113Census Tract 20 (part)
79912002944780010200100308548             9999999999999002101     1685      895Census Tract 21.01 (part)
79912002944780010200100308548             9999999999999002102      474      242Census Tract 21.02 (part)
79912002944780010200100308548             9999999999999002201     3640     1527Census Tract 22.01 (part)
79912002944780010200100308548             9999999999999002202     4732     2060Census Tract 22.02 (part)
79912002944780010200100308548             9999999999999002204     9990     4234Census Tract 22.04
79912002944780010200100308548             9999999999999002205     9656     4305Census Tract 22.05
79912002944780010200100308548             9999999999999002207     3767     1437Census Tract 22.07
79912002944780010200100308548             9999999999999002208     2599      976Census Tract 22.08
79912002944780010200100308548             9999999999999002209     6709     2689Census Tract 22.09 (part)
79912002944780010200100308548             9999999999999002210      882      372Census Tract 22.10 (part)
79912002944780010200100308548             9999999999999002217     5553     2837Census Tract 22.17 (part)
79912002944780010200100308548             9999999999999002218     2148     1114Census Tract 22.18
79912002944780010200100308548             9999999999999002219     5366     2922Census Tract 22.19 (part)
79912002944780010200100308548             9999999999999002220     2136      967Census Tract 22.20 (part)
795120029447800500                                              268718   164219Walton, Washington, Holmes & Bay Counties PUMA
79612002944780050000500295738                                   168852    99650Bay County
79812002944780050000500295738             0972502403971          14405     6590Callaway city
79912002944780050000500295738             0972502403971000500      370      163Census Tract 5 (part)
79912002944780050000500295738             0972502403971000803     4161     2017Census Tract 8.03 (part)
79912002944780050000500295738             0972502403971000804     2023      866Census Tract 8.04 (part)
79912002944780050000500295738             0972502403971000805     4588     2096Census Tract 8.05
79912002944780050000500295738             0972502403971000806     3047     1364Census Tract 8.06 (part)
79912002944780050000500295738             0972502403971001000        0        0Census Tract 10 (part)
79912002944780050000500295738             0972502403971001100      216       84Census Tract 11 (part)
79812002944780050000500295738             1115002630664           3397     1481Cedar Grove CDP
79912002944780050000500295738             1115002630664001100        0        0Census Tract 11 (part)
79912002944780050000500295738             1115002630664001200     3033     1321Census Tract 12 (part)
79912002944780050000500295738             1115002630664001302      309      132Census Tract 13.02 (part)
79912002944780050000500295738             1115002630664001600        0        0Census Tract 16 (part)
79912002944780050000500295738             1115002630664001700       55       28Census Tract 17 (part)
79812002944780050000500295738             3750002403186           3932     4607Laguna Beach CDP
79912002944780050000500295738             3750002403186002701     2875     3412Census Tract 27.01 (part)
79912002944780050000500295738             3750002403186002702     1057     1195Census Tract 27.02 (part)
79812002944780050000500295738             4156202403243           3881     6325Lower Grand Lagoon CDP
79912002944780050000500295738             4156202403243002605     1117     1590Census Tract 26.05 (part)
79912002944780050000500295738             4156202403243002606     1586     2366Census Tract 26.06 (part)
79912002944780050000500295738             4156202403243002607     1178     2369Census Tract 26.07 (part)
79912002944780050000500295738             4156202403243002705        0        0Census Tract 27.05 (part)
79812002944780050000500295738             4182502404981          18493     8266Lynn Haven city
79912002944780050000500295738             4182502404981000202       81       71Census Tract 2.02 (part)
79912002944780050000500295738             4182502404981000400        0        0Census Tract 4 (part)
79912002944780050000500295738             4182502404981001301     3007     1183Census Tract 13.01 (part)
79912002944780050000500295738             4182502404981001302     3011     1306Census Tract 13.02 (part)
79912002944780050000500295738             4182502404981001402     4266     1873Census Tract 14.02 (part)
79912002944780050000500295738             4182502404981001403     1923      916Census Tract 14.03 (part)
79912002944780050000500295738             4182502404981001404     5200     2266Census Tract 14.04 (part)
79912002944780050000500295738             4182502404981001501      581      389Census Tract 15.01 (part)
79912002944780050000500295738             4182502404981001502      424      262Census Tract 15.02 (part)
79812002944780050000500295738             4430002404246           1072     1852Mexico Beach city
79912002944780050000500295738             4430002404246000600     1072     1852Census Tract 6 (part)
79812002944780050000500295738             5470002404468          36484    17438Panama City city
79912002944780050000500295738             5470002404468000300     1018       16Census Tract 3 (part)
79912002944780050000500295738             5470002404468000400        4        1Census Tract 4 (part)
79912002944780050000500295738             5470002404468000500      857        2Census Tract 5 (part)
79912002944780050000500295738             5470002404468001000        0        0Census Tract 10 (part)
79912002944780050000500295738             5470002404468001100        0        0Census Tract 11 (part)
79912002944780050000500295738             5470002404468001200        0        0Census Tract 12 (part)
79912002944780050000500295738             5470002404468001301        0        0Census Tract 13.01 (part)
79912002944780050000500295738             5470002404468001302       71       35Census Tract 13.02 (part)
79912002944780050000500295738             5470002404468001404      164      261Census Tract 14.04 (part)
79912002944780050000500295738             5470002404468001501     2771     1200Census Tract 15.01 (part)
79912002944780050000500295738             5470002404468001502     4542     2055Census Tract 15.02 (part)
79912002944780050000500295738             5470002404468001600     3660     1671Census Tract 16 (part)
79912002944780050000500295738             5470002404468001700     3010     1335Census Tract 17 (part)
79912002944780050000500295738             5470002404468001800     1559      789Census Tract 18 (part)
79912002944780050000500295738             5470002404468001900     3942     2105Census Tract 19
79912002944780050000500295738             5470002404468002000     1596     1079Census Tract 20
79912002944780050000500295738             5470002404468002200     4731     2389Census Tract 22
79912002944780050000500295738             5470002404468002300     3881     2103Census Tract 23
79912002944780050000500295738             5470002404468002400     3994     2099Census Tract 24
79912002944780050000500295738             5470002404468002500      684      298Census Tract 25 (part)
79812002944780050000500295738             5472502404469          12018    17141Panama City Beach city
79912002944780050000500295738             5472502404469000202      383      149Census Tract 2.02 (part)
79912002944780050000500295738             5472502404469002605       66      231Census Tract 26.05 (part)
79912002944780050000500295738             5472502404469002701      466      383Census Tract 27.01 (part)
79912002944780050000500295738             5472502404469002702     1600     3294Census Tract 27.02 (part)
79912002944780050000500295738             5472502404469002703     3166     3047Census Tract 27.03 (part)
79912002944780050000500295738             5472502404469002704     4672     4668Census Tract 27.04 (part)
79912002944780050000500295738             5472502404469002705     1665     5369Census Tract 27.05 (part)
79812002944780050000500295738             5507502404479           4317     2310Parker city
79912002944780050000500295738             5507502404479000900     4265     2287Census Tract 9 (part)
79912002944780050000500295738             5507502404479001000       52       23Census Tract 10 (part)
79812002944780050000500295738             5896202403446           3206     1488Pretty Bayou CDP
79912002944780050000500295738             5896202403446001501      341      160Census Tract 15.01 (part)
79912002944780050000500295738             5896202403446001502      617      244Census Tract 15.02 (part)
79912002944780050000500295738             5896202403446002500     2248     1084Census Tract 25 (part)
79812002944780050000500295738             6827502405513           8903     4238Springfield city
79912002944780050000500295738             6827502405513000500      556      309Census Tract 5 (part)
79912002944780050000500295738             6827502405513000803        0        0Census Tract 8.03 (part)
79912002944780050000500295738             6827502405513001000     2069     1064Census Tract 10 (part)
79912002944780050000500295738             6827502405513001100     4400     2010Census Tract 11 (part)
79912002944780050000500295738             6827502405513001200      236      118Census Tract 12 (part)
79912002944780050000500295738             6827502405513001302     1642      737Census Tract 13.02 (part)
79812002944780050000500295738             7287502402942           2994      934Tyndall AFB CDP
79912002944780050000500295738             7287502402942000700     2994      934Census Tract 7 (part)
79812002944780050000500295738             7331202402953          13963     8259Upper Grand Lagoon CDP
79912002944780050000500295738             7331202402953002601     2190     1239Census Tract 26.01
79912002944780050000500295738             7331202402953002603     1926     1291Census Tract 26.03
79912002944780050000500295738             7331202402953002604     7108     3717Census Tract 26.04
79912002944780050000500295738             7331202402953002608     2739     2012Census Tract 26.08
79812002944780050000500295738             9999999999999          41787    18721Remainder of Bay County
79912002944780050000500295738             9999999999999000201     4238     1819Census Tract 2.01
79912002944780050000500295738             9999999999999000202     4865     2332Census Tract 2.02 (part)
79912002944780050000500295738             9999999999999000300     7534     3442Census Tract 3 (part)
79912002944780050000500295738             9999999999999000400     7956     3396Census Tract 4 (part)
79912002944780050000500295738             9999999999999000500     4399     1818Census Tract 5 (part)
79912002944780050000500295738             9999999999999000600        3        2Census Tract 6 (part)
79912002944780050000500295738             9999999999999000700        1        1Census Tract 7 (part)
79912002944780050000500295738             9999999999999000803      985      453Census Tract 8.03 (part)
79912002944780050000500295738             9999999999999000804      219      150Census Tract 8.04 (part)
79912002944780050000500295738             9999999999999000806      531      226Census Tract 8.06 (part)
79912002944780050000500295738             9999999999999000900        0        0Census Tract 9 (part)
79912002944780050000500295738             9999999999999001000        0        0Census Tract 10 (part)
79912002944780050000500295738             9999999999999001100       20       12Census Tract 11 (part)
79912002944780050000500295738             9999999999999001301     2088      865Census Tract 13.01 (part)
79912002944780050000500295738             9999999999999001302     2222     1032Census Tract 13.02 (part)
79912002944780050000500295738             9999999999999001402     2432      971Census Tract 14.02 (part)
79912002944780050000500295738             9999999999999001403        0        0Census Tract 14.03 (part)
79912002944780050000500295738             9999999999999001404      908      394Census Tract 14.04 (part)
79912002944780050000500295738             9999999999999001501      885      394Census Tract 15.01 (part)
79912002944780050000500295738             9999999999999001502      213      119Census Tract 15.02 (part)
79912002944780050000500295738             9999999999999001600        0        0Census Tract 16 (part)
79912002944780050000500295738             9999999999999001800       62       25Census Tract 18 (part)
79912002944780050000500295738             9999999999999002500       25       18Census Tract 25 (part)
79912002944780050000500295738             9999999999999002605        0        0Census Tract 26.05 (part)
79912002944780050000500295738             9999999999999002606        0        0Census Tract 26.06 (part)
79912002944780050000500295738             9999999999999002607        0        2Census Tract 26.07 (part)
79912002944780050000500295738             9999999999999002701      732      443Census Tract 27.01 (part)
79912002944780050000500295738             9999999999999002702        0        0Census Tract 27.02 (part)
79912002944780050000500295738             9999999999999002703        0        0Census Tract 27.03 (part)
79912002944780050000500295738             9999999999999002704     1256      713Census Tract 27.04 (part)
79912002944780050000500295738             9999999999999002705      213       94Census Tract 27.05 (part)
79912002944780050000500295738             9999999999999990000        0        0Census Tract 9900
79612002944780050005900295735                                    19927     8641Holmes County
79812002944780050005900295735             0745002403892           2793     1267Bonifay city
79912002944780050005900295735             0745002403892960400     2793     1267Census Tract 9604 (part)
79812002944780050005900295735             2125002406463            364      159Esto town
79912002944780050005900295735             2125002406463960100      364      159Census Tract 9601 (part)
79812002944780050005900295735             4890002406996            211       96Noma town
79912002944780050005900295735             4890002406996960100      211       96Census Tract 9601 (part)
79812002944780050005900295735             5817502407146            598      290Ponce de Leon town
79912002944780050005900295735             5817502407146960200      598      290Census Tract 9602 (part)
79812002944780050005900295735             7697502406872            289      137Westville town
79912002944780050005900295735             7697502406872960200      289      137Census Tract 9602 (part)
79812002944780050005900295735             9999999999999          15672     6692Remainder of Holmes County
79912002944780050005900295735             9999999999999960100     3375     1552Census Tract 9601 (part)
79912002944780050005900295735             9999999999999960200     4657     2261Census Tract 9602 (part)
79912002944780050005900295735             9999999999999960300     3182     1518Census Tract 9603
79912002944780050005900295735             9999999999999960400     4458     1361Census Tract 9604 (part)
79612002944780050013100295727                                    55043    45132Walton County
79812002944780050013100295727             1680002404200           5177     2713De Funiak Springs city
79912002944780050013100295727             1680002404200950200     2604     1448Census Tract 9502 (part)
79912002944780050013100295727             1680002404200950301     1478      731Census Tract 9503.01 (part)
79912002944780050013100295727             1680002404200950302     1093      530Census Tract 9503.02 (part)
79912002944780050013100295727             1680002404200950400        2        4Census Tract 9504 (part)
79812002944780050013100295727             2482502403663           1787      919Freeport city
79912002944780050013100295727             2482502403663950302      314      208Census Tract 9503.02 (part)
79912002944780050013100295727             2482502403663950501      657      299Census Tract 9505.01 (part)
79912002944780050013100295727             2482502403663950502      816      412Census Tract 9505.02 (part)
79812002944780050013100295727             4600002403296           6146    12385Miramar Beach CDP
79912002944780050013100295727             4600002403296950603     6146    12385Census Tract 9506.03 (part)
79812002944780050013100295727             5547502407083            644      310Paxton town
79912002944780050013100295727             5547502407083950101      644      310Census Tract 9501.01 (part)
79812002944780050013100295727             9999999999999          41289    28805Remainder of Walton County
79912002944780050013100295727             9999999999999950101     5575     2771Census Tract 9501.01 (part)
79912002944780050013100295727             9999999999999950102     3045     1573Census Tract 9501.02
79912002944780050013100295727             9999999999999950200     3331      827Census Tract 9502 (part)
79912002944780050013100295727             9999999999999950301     4104     2124Census Tract 9503.01 (part)
79912002944780050013100295727             9999999999999950302     4015     1883Census Tract 9503.02 (part)
79912002944780050013100295727             9999999999999950400     2943     1434Census Tract 9504 (part)
79912002944780050013100295727             9999999999999950501     3061     1989Census Tract 9505.01 (part)
79912002944780050013100295727             9999999999999950502     2909     1642Census Tract 9505.02 (part)
79912002944780050013100295727             9999999999999950601     8579     8205Census Tract 9506.01
79912002944780050013100295727             9999999999999950602     2506     5776Census Tract 9506.02
79912002944780050013100295727             9999999999999950603     1221      581Census Tract 9506.03 (part)
79912002944780050013100295727             9999999999999990000        0        0Census Tract 9900
79612002944780050013300295762                                    24896    10796Washington County
79812002944780050013300295762             1097502406231            411      115Caryville town
79912002944780050013300295762             1097502406231970200      411      115Census Tract 9702 (part)
79812002944780050013300295762             1197502404049           3605     1615Chipley city
79912002944780050013300295762             1197502404049970102        0        0Census Tract 9701.02 (part)
79912002944780050013300295762             1197502404049970103     1987      930Census Tract 9701.03 (part)
79912002944780050013300295762             1197502404049970104     1618      685Census Tract 9701.04 (part)
79812002944780050013300295762             1972502406419            270      127Ebro town
79912002944780050013300295762             1972502406419970302      270      127Census Tract 9703.02 (part)
79812002944780050013300295762             7412502405642            687      360Vernon city
