795530177980410100                                              201140    90665Whatcom County--Bellingham City PUMA
79653017798041010007301529224                                   201140    90665Whatcom County
79853017798041010007301529224             0027502407694            246      109Acme CDP
79953017798041010007301529224             0027502407694010100      246      109Census Tract 101 (part)
79853017798041010007301529224             0528002409823          80885    36760Bellingham city
79953017798041010007301529224             0528002409823000100     4864     2462Census Tract 1 (part)
79953017798041010007301529224             0528002409823000200     4645     2441Census Tract 2 (part)
79953017798041010007301529224             0528002409823000300     6939     3280Census Tract 3 (part)
79953017798041010007301529224             0528002409823000400     6349     2989Census Tract 4 (part)
79953017798041010007301529224             0528002409823000501     5189     2303Census Tract 5.01
79953017798041010007301529224             0528002409823000502     2668     1309Census Tract 5.02 (part)
79953017798041010007301529224             0528002409823000600     1638      832Census Tract 6
79953017798041010007301529224             0528002409823000700     6489     2764Census Tract 7
79953017798041010007301529224             0528002409823000803     6209     2759Census Tract 8.03 (part)
79953017798041010007301529224             0528002409823000804     2045      829Census Tract 8.04 (part)
79953017798041010007301529224             0528002409823000805     1587      755Census Tract 8.05 (part)
79953017798041010007301529224             0528002409823000901     6638     3035Census Tract 9.01
79953017798041010007301529224             0528002409823000902     3720     1491Census Tract 9.02 (part)
79953017798041010007301529224             0528002409823001000     7138     1728Census Tract 10
79953017798041010007301529224             0528002409823001100     6637     3485Census Tract 11 (part)
79953017798041010007301529224             0528002409823001201     6489     3283Census Tract 12.01
79953017798041010007301529224             0528002409823001202     1641     1015Census Tract 12.02 (part)
79853017798041010007301529224             0619002407850           8413     5411Birch Bay CDP
79953017798041010007301529224             0619002407850010403     4299     2661Census Tract 104.03 (part)
79953017798041010007301529224             0619002407850010404     3689     2496Census Tract 104.04 (part)
79953017798041010007301529224             0619002407850010501      425      254Census Tract 105.01 (part)
79853017798041010007301529224             0650502409860           4684     2346Blaine city
79953017798041010007301529224             0650502409860010401     3853     1752Census Tract 104.01 (part)
79953017798041010007301529224             0650502409860010403      831      594Census Tract 104.03 (part)
79853017798041010007301529224             1637502408634            366      147Custer CDP
79953017798041010007301529224             1637502408634010404      366      147Census Tract 104.04 (part)
79853017798041010007301529224             1749502408656            353      162Deming CDP
79953017798041010007301529224             1749502408656010100      353      162Census Tract 101 (part)
79853017798041010007301529224             2274502410471           2481      864Everson city
79953017798041010007301529224             2274502410471010200     1152      451Census Tract 102 (part)
79953017798041010007301529224             2274502410471010702     1329      413Census Tract 107.02 (part)
79853017798041010007301529224             2362002410498          11415     4428Ferndale city
79953017798041010007301529224             2362002410498000200      296      104Census Tract 2 (part)
79953017798041010007301529224             2362002410498010501     4058     1555Census Tract 105.01 (part)
79953017798041010007301529224             2362002410498010502     6303     2470Census Tract 105.02 (part)
79953017798041010007301529224             2362002410498010600      758      299Census Tract 106 (part)
79853017798041010007301529224             2642002408288           2321      911Geneva CDP
79953017798041010007301529224             2642002408288000805     2321      911Census Tract 8.05 (part)
79853017798041010007301529224             2687502408296            211      769Glacier CDP
79953017798041010007301529224             2687502408296010100      211      769Census Tract 101 (part)
79853017798041010007301529224             3513502408470            191       87Kendall CDP
79953017798041010007301529224             3513502408470010100      191       87Census Tract 101 (part)
79853017798041010007301529224             4080502410899          11951     4812Lynden city
79953017798041010007301529224             4080502410899010200       49       17Census Tract 102 (part)
79953017798041010007301529224             4080502410899010301     2814     1158Census Tract 103.01 (part)
79953017798041010007301529224             4080502410899010302     4478     1960Census Tract 103.02 (part)
79953017798041010007301529224             4080502410899010303     4610     1677Census Tract 103.03 (part)
79853017798041010007301529224             4301002408171            324      149Maple Falls CDP
79953017798041010007301529224             4301002408171010100      324      149Census Tract 101 (part)
79853017798041010007301529224             4349102408178           3906     1808Marietta-Alderwood CDP
79953017798041010007301529224             4349102408178000200     3537     1647Census Tract 2 (part)
79953017798041010007301529224             4349102408178000300      369      161Census Tract 3 (part)
79853017798041010007301529224             4927502411263           1338      457Nooksack city
79953017798041010007301529224             4927502411263010200     1338      457Census Tract 102 (part)
79853017798041010007301529224             5380002409041           3324     1488Peaceful Valley CDP
79953017798041010007301529224             5380002409041010100     3324     1488Census Tract 101 (part)
79853017798041010007301529224             5501502586745           1314     2068Point Roberts CDP
79953017798041010007301529224             5501502586745011000     1314     2068Census Tract 110 (part)
79853017798041010007301529224             6820002410015           6441     2892Sudden Valley CDP
79953017798041010007301529224             6820002410015000805      862      375Census Tract 8.05 (part)
79953017798041010007301529224             6820002410015000806     5579     2517Census Tract 8.06 (part)
79853017798041010007301529224             6833002412000           1307      531Sumas city
79953017798041010007301529224             6833002412000010200     1307      531Census Tract 102 (part)
79853017798041010007301529224             9999999999999          59669    24466Remainder of Whatcom County
79953017798041010007301529224             9999999999999000100     4134     1728Census Tract 1 (part)
79953017798041010007301529224             9999999999999000200     1259      486Census Tract 2 (part)
79953017798041010007301529224             9999999999999000300      122       68Census Tract 3 (part)
79953017798041010007301529224             9999999999999000400        0        0Census Tract 4 (part)
79953017798041010007301529224             9999999999999000502        0        0Census Tract 5.02 (part)
79953017798041010007301529224             9999999999999000803       66       23Census Tract 8.03 (part)
79953017798041010007301529224             9999999999999000804     4597     1725Census Tract 8.04 (part)
79953017798041010007301529224             9999999999999000805      196       81Census Tract 8.05 (part)
79953017798041010007301529224             9999999999999000806     2404     1184Census Tract 8.06 (part)
79953017798041010007301529224             9999999999999000902     2113      909Census Tract 9.02 (part)
79953017798041010007301529224             9999999999999001100        0        0Census Tract 11 (part)
79953017798041010007301529224             9999999999999001202     1874     1028Census Tract 12.02 (part)
79953017798041010007301529224             9999999999999010100     3246     1634Census Tract 101 (part)
79953017798041010007301529224             9999999999999010200     4233     1630Census Tract 102 (part)
79953017798041010007301529224             9999999999999010301     3978     1397Census Tract 103.01 (part)
79953017798041010007301529224             9999999999999010302        5        3Census Tract 103.02 (part)
79953017798041010007301529224             9999999999999010303      493      145Census Tract 103.03 (part)
79953017798041010007301529224             9999999999999010401     4196     1649Census Tract 104.01 (part)
79953017798041010007301529224             9999999999999010403        0        0Census Tract 104.03 (part)
79953017798041010007301529224             9999999999999010404     2197      864Census Tract 104.04 (part)
79953017798041010007301529224             9999999999999010501     2791      983Census Tract 105.01 (part)
79953017798041010007301529224             9999999999999010502     1123      430Census Tract 105.02 (part)
79953017798041010007301529224             9999999999999010600     5722     2127Census Tract 106 (part)
79953017798041010007301529224             9999999999999010701     6197     2263Census Tract 107.01
79953017798041010007301529224             9999999999999010702     3053     1156Census Tract 107.02 (part)
79953017798041010007301529224             9999999999999010900      964      964Census Tract 109
79953017798041010007301529224             9999999999999011000        0        0Census Tract 110 (part)
79953017798041010007301529224             9999999999999940000     4706     1989Census Tract 9400
795530177980410200                                              211176   105020Skagit, Island & San Juan Counties PUMA
79653017798041020002901513272                                    78506    40234Island County
79853017798041020002901513272             1315502407635            928      615Clinton CDP
79953017798041020002901513272             1315502407635972000      339      229Census Tract 9720 (part)
