795300076798200100                                              124014    63724Northwest Montana--Kalispell City PUMA                                                                                                                                     
79630007679820010002901719611                                    90928    46963Flathead County                                                                                                                                                            
79830007679820010002901719611             0423002583787            385      151Batavia CDP                                                                                                                                                                
79930007679820010002901719611             0423002583787001700      385      151Census Tract 17 (part)                                                                                                                                                     
79830007679820010002901719611             0587502407847           4270     3243Bigfork CDP                                                                                                                                                                
79930007679820010002901719611             0587502407847001301     3164     2492Census Tract 13.01 (part)                                                                                                                                                  
79930007679820010002901719611             0587502407847001302     1106      751Census Tract 13.02 (part)                                                                                                                                                  
79930007679820010002901719611             0587502407847001400        0        0Census Tract 14 (part)                                                                                                                                                     
79830007679820010002901719611             1660002410202           4688     1994Columbia Falls city                                                                                                                                                        
79930007679820010002901719611             1660002410202000201      825      316Census Tract 2.01 (part)                                                                                                                                                   
79930007679820010002901719611             1660002410202000203     3863     1678Census Tract 2.03 (part)                                                                                                                                                   
79830007679820010002901719611             1750002407660            539      303Coram CDP                                                                                                                                                                  
79930007679820010002901719611             1750002407660000100      539      303Census Tract 1 (part)                                                                                                                                                      
79830007679820010002901719611             2507502408098           7616     3147Evergreen CDP                                                                                                                                                              
79930007679820010002901719611             2507502408098000700     5790     2348Census Tract 7                                                                                                                                                             
79930007679820010002901719611             2507502408098000800      833      359Census Tract 8 (part)                                                                                                                                                      
79930007679820010002901719611             2507502408098000900       16        6Census Tract 9 (part)                                                                                                                                                      
79930007679820010002901719611             2507502408098001200      977      434Census Tract 12 (part)                                                                                                                                                     
79830007679820010002901719611             2759502583808            206      108Forest Hill Village CDP                                                                                                                                                    
79930007679820010002901719611             2759502583808001400      206      108Census Tract 14 (part)                                                                                                                                                     
79830007679820010002901719611             3562202583815           1043      408Helena Flats CDP                                                                                                                                                           
79930007679820010002901719611             3562202583815000203       35       12Census Tract 2.03 (part)                                                                                                                                                   
79930007679820010002901719611             3562202583815000601        0        0Census Tract 6.01 (part)                                                                                                                                                   
79930007679820010002901719611             3562202583815000602     1008      396Census Tract 6.02 (part)                                                                                                                                                   
79830007679820010002901719611             3812502408409            826      637Hungry Horse CDP                                                                                                                                                           
79930007679820010002901719611             3812502408409000100      826      637Census Tract 1 (part)                                                                                                                                                      
79830007679820010002901719611             4007502410161          19927     9379Kalispell city                                                                                                                                                             
79930007679820010002901719611             4007502410161000601       51       33Census Tract 6.01 (part)                                                                                                                                                   
79930007679820010002901719611             4007502410161000800     2759     1319Census Tract 8 (part)                                                                                                                                                      
79930007679820010002901719611             4007502410161000900     6423     3002Census Tract 9 (part)                                                                                                                                                      
79930007679820010002901719611             4007502410161001000     1912     1103Census Tract 10                                                                                                                                                            
79930007679820010002901719611             4007502410161001100     5677     2666Census Tract 11.00 (part)                                                                                                                                                  
79930007679820010002901719611             4007502410161001200     3105     1256Census Tract 12 (part)                                                                                                                                                     
79930007679820010002901719611             4007502410161001400        0        0Census Tract 14 (part)                                                                                                                                                     
79830007679820010002901719611             4067502583819            392      181Kila CDP                                                                                                                                                                   
79930007679820010002901719611             4067502583819001700      392      181Census Tract 17 (part)                                                                                                                                                     
79830007679820010002901719611             4195002408563           2669     1688Lakeside CDP                                                                                                                                                               
79930007679820010002901719611             4195002408563001400     2669     1688Census Tract 14 (part)                                                                                                                                                     
79830007679820010002901719611             4383002583823            194      291Little Bitterroot Lake CDP                                                                                                                                                 
79930007679820010002901719611             4383002583823001700      194      291Census Tract 17 (part)                                                                                                                                                     
79830007679820010002901719611             4787502583826            886      386Marion CDP                                                                                                                                                                 
79930007679820010002901719611             4787502583826001700      886      386Census Tract 17 (part)                                                                                                                                                     
79830007679820010002901719611             4810002408187            500      265Martin City CDP                                                                                                                                                            
79930007679820010002901719611             4810002408187000100      500      265Census Tract 1 (part)                                                                                                                                                      
79830007679820010002901719611             5372502408924             18        9Niarada CDP (part)                                                                                                                                                         
79930007679820010002901719611             5372502408924001700       18        9Census Tract 17 (part)                                                                                                                                                     
79830007679820010002901719611             5545002583831            191       95Olney CDP                                                                                                                                                                  
79930007679820010002901719611             5545002583831000100      191       95Census Tract 1 (part)                                                                                                                                                      
79830007679820010002901719611             6947502408755           1109      609Somers CDP                                                                                                                                                                 
79930007679820010002901719611             6947502408755001400     1109      609Census Tract 14 (part)                                                                                                                                                     
79830007679820010002901719611             7907502583863            227      314West Glacier CDP                                                                                                                                                           
79930007679820010002901719611             7907502583863000100      227      314Census Tract 1 (part)                                                                                                                                                      
79830007679820010002901719611             7982502412257           6357     4086Whitefish city                                                                                                                                                             
79930007679820010002901719611             7982502412257000100        0        0Census Tract 1 (part)                                                                                                                                                      
79930007679820010002901719611             7982502412257000300     2491     1878Census Tract 3 (part)                                                                                                                                                      
79930007679820010002901719611             7982502412257000401     2487     1359Census Tract 4.01 (part)                                                                                                                                                   
79930007679820010002901719611             7982502412257000402     1379      849Census Tract 4.02 (part)                                                                                                                                                   
79830007679820010002901719611             9999999999999          38885    19669Remainder of Flathead County                                                                                                                                               
